Personality,Image Path,Width,Height,File Type
adriana lima,../dataset\adriana lima\Adriana Lima0_0.jpg,550,668,jpg
adriana lima,../dataset\adriana lima\Adriana Lima101_3.jpg,302,320,jpg
adriana lima,../dataset\adriana lima\Adriana Lima102_4.jpg,146,155,jpg
adriana lima,../dataset\adriana lima\Adriana Lima103_5.jpg,209,225,jpg
adriana lima,../dataset\adriana lima\Adriana Lima104_6.jpg,102,108,jpg
adriana lima,../dataset\adriana lima\Adriana Lima105_7.jpg,174,184,jpg
adriana lima,../dataset\adriana lima\Adriana Lima106_8.jpg,365,387,jpg
adriana lima,../dataset\adriana lima\Adriana Lima107_9.jpg,255,266,jpg
adriana lima,../dataset\adriana lima\Adriana Lima108_10.jpg,302,320,jpg
adriana lima,../dataset\adriana lima\Adriana Lima109_11.jpg,146,155,jpg
adriana lima,../dataset\adriana lima\Adriana Lima10_2.jpg,302,320,jpg
adriana lima,../dataset\adriana lima\Adriana Lima110_13.jpg,468,547,jpg
adriana lima,../dataset\adriana lima\Adriana Lima111_14.jpg,121,128,jpg
adriana lima,../dataset\adriana lima\Adriana Lima112_15.jpg,464,558,jpg
adriana lima,../dataset\adriana lima\Adriana Lima113_16.jpg,341,558,jpg
adriana lima,../dataset\adriana lima\Adriana Lima114_17.jpg,146,154,jpg
adriana lima,../dataset\adriana lima\Adriana Lima115_18.jpg,212,225,jpg
adriana lima,../dataset\adriana lima\Adriana Lima116_19.jpg,302,320,jpg
adriana lima,../dataset\adriana lima\Adriana Lima118_20.jpg,437,462,jpg
adriana lima,../dataset\adriana lima\Adriana Lima11_12.jpg,251,266,jpg
adriana lima,../dataset\adriana lima\Adriana Lima120_22.jpg,175,184,jpg
adriana lima,../dataset\adriana lima\Adriana Lima121_23.jpg,251,266,jpg
adriana lima,../dataset\adriana lima\Adriana Lima122_24.jpg,564,802,jpg
adriana lima,../dataset\adriana lima\Adriana Lima123_25.jpg,465,554,jpg
adriana lima,../dataset\adriana lima\Adriana Lima124_26.jpg,251,266,jpg
adriana lima,../dataset\adriana lima\Adriana Lima125_27.jpg,251,270,jpg
adriana lima,../dataset\adriana lima\Adriana Lima126_28.jpg,464,547,jpg
adriana lima,../dataset\adriana lima\Adriana Lima127_29.jpg,302,320,jpg
adriana lima,../dataset\adriana lima\Adriana Lima128_30.jpg,302,320,jpg
adriana lima,../dataset\adriana lima\Adriana Lima129_31.jpg,121,128,jpg
adriana lima,../dataset\adriana lima\Adriana Lima12_21.jpg,329,387,jpg
adriana lima,../dataset\adriana lima\Adriana Lima130_33.jpg,302,320,jpg
adriana lima,../dataset\adriana lima\Adriana Lima131_34.jpg,251,266,jpg
